ID,Spell_Name,Spell_level,Ritual,School,Casting_Time,Range,Components,Material_Component,Duration,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard,Description,Number of Classes that know spell
1,Acid Splash,Cantrip,,Conjuration,1 action,60 ft,"V, S",,Instantaneous,,,,,,Sorcerer,,Wizard,,2
2,Aid,2,,Abjuration,1 action,30 ft,"V, S, M",a tiny strip of white cloth,8 hours,,Cleric,,Paladin,,,,,,2
3,Alarm,1,Ritual,Abjuration,1 minute,30 ft,"V, S, M","a tiny bell and a piece of
fine silver wire",8 hours,,,,,Ranger,,,Wizard,,2
4,Alter Self,2,,Transmutation,1 action,Self,"V, S",,"Concentration, up to 1 hour",,,,,,Sorcerer,,Wizard,,2
5,Animal Friendship,1,,Enchantment,1 action,30 ft,"V, S, M",a morsel of food,24 hours,Bard,,Druid,,Ranger,,,,,3
6,Animal Messenger,2,Ritual,Enchantment,1 action,30 ft,"V, S, M",a morsel of food,24 hours,Bard,,Druid,,Ranger,,,,,3
7,Animal Shapes,8,,Transmutation,1 action,30 ft,"V, S",,"Concentration, up to 24 hour",,,Druid,,,,,,,1
8,Animate Dead,3,,Necromancy,1 minute,10 ft,"V, S, M","a drop of blood, a piece of flesh, and a pinch of bone dust",Instantaneous,,Cleric,,,,,,Wizard,,2
9,Animate Object,5,,Transmutation,1 action,120 ft,"V, S",,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,,Wizard,,3
10,Antilife Shell,5,,Abjuration,1 action,Self (10ft radius),"V, S",,"Concentration, up to 1 hour",,,Druid,,,,,,,1
11,Antimagic Field,8,,Abjuration,1 action,Self (10ft radius),"V, S, M",a pinch of powdered iron or iron filings,"Concentration, up to 1 hour",,Cleric,,,,,,Wizard,,2
12,Antipathy/Sympathy,8,,Enchantment,1 hour,60 ft,"V, S, M",either a lump of alum soaked in vinegar for the antipathy effect or a drop of honey for the sympathy effect,10 days,,,Druid,,,,,Wizard,,2
13,Arcane Eye,4,,Divination,1 action,30 ft,"V, S, M",a bit of bat fur,"Concentration, up to 1 hour",,,,,,,,Wizard,,1
14,Arcane Gate,6,,Conjuration,1 action,500 ft,"V, S",,"Concentration, up to 10 minutes",,,,,,Sorcerer,Warlock,Wizard,,3
15,Arcane Lock,2,,Abjuration,1 action,Touch,"V, S, M","gold dust worth at least 25 gp, which the spell consumes",Until dispelled,,,,,,,,Wizard,,1
16,Armor of Agathys,1,,Abjuration,1 action,Self,"V, S, M",a cup of water,1 hour,,,,,,,Warlock,,,1
17,Arms of Hadar,1,,Conjuration,1 action,Self (10ft radius),"V, S",,Instantaneous,,,,,,,Warlock,,,1
18,Astral Projection,9,,Necromancy,1 hour,10 ft,"V, S, M","for each creature you affect with this spell, you must provide one jacinth worth at least 1,000 gp and one ornately carved bar of silver worth at least 100 gp, all of which the spell consumes",Special,,Cleric,,,,,Warlock,Wizard,,3
19,Augury,2,Ritual,Divination,1 minute,Self,"V, S, M","specially marked sticks, bones, or similar tokens worth at least 25 gp",Instantaneous,,Cleric,,,,,,,,1
20,Aura of Life,4,,Abjuration,1 action,Self (30ft radius),V,,"Concentration, up to 10 minutes",,,,Paladin,,,,,,1
21,Aura of Purity,4,,Abjuration,1 action,Self (30ft radius),V,,"Concentration, up to 10 minutes",,,,Paladin,,,,,,1
22,Aura of Vitality,3,,Evocation,1 action,Self (30ft radius),V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1
23,Awaken,5,,Transmutation,8 hours,Touch,"V, S, M","an agate worth at least 1,000 gp, which the spell consumes",Instantaneous,Bard,,Druid,,,,,,,2
24,Bane,1,,Enchantment,1 action,30 ft,"V, S, M",a drop of blood,"Concentration, up to 1 minute",Bard,Cleric,,,,,,,,2
25,Banishing Smite,5,,Abjuration,1 bonus action,Self,V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1
26,Banishment,4,,Abjuration,1 action,60 ft,"V, S, M",an item distasteful to the target,"Concentration, up to 1 minute",,Cleric,,Paladin,,Sorcerer,Warlock,Wizard,,5
27,Barkskin,2,,Transmutation,1 action,Touch,"V, S, M",a handful of oak bark,"Concentration, up to 1 hour",,,Druid,,Ranger,,,,,2
28,Beacon of Hope,3,,Abjuration,1 action,30 ft,"V, S",,"Concentration, up to 1 minute",,Cleric,,,,,,,,1
29,Beast Sense,2,Ritual,Divination,1 action,Touch,S,,"Concentration, up to 1 hour",,,Druid,,Ranger,,,,,2
30,Bestow Curse,3,,Necromancy,1 action,Touch,"V, S",,"Concentration, up to 1 minute",Bard,Cleric,,,,,,Wizard,,3
31,Bigby's Hand,5,,Evocation,1 action,120 ft,"V, S, M",an eggshell and a snakeskin glove,"Concentration, up to 1 minute",,,,,,,,Wizard,,1
32,Blade Barrier,6,,Evocation,1 action,90 ft,"V, S",,"Concentration, up to 10 minutes",,Cleric,,,,,,,,1
33,Blade Ward,Cantrip,,Abjuration,1 action,Self,"V, S",,1 round,Bard,,,,,Sorcerer,Warlock,Wizard,,4
34,Bless,1,,Enchantment,1 action,30 ft,"V, S, M",a sprinkling of holy water,"Concentration, up to 1 minute",,Cleric,,Paladin,,,,,,2
35,Blight,4,,Necromancy,1 action,30 ft,"V, S",,Instantaneous,,,Druid,,,Sorcerer,Warlock,Wizard,,4
36,Blinding Smite,3,,Evocation,1 bonus action,Self,V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1
37,Blindness/Deafness,2,,Necromancy,1 action,30 ft,V,,1 minute,Bard,Cleric,,,,Sorcerer,,Wizard,,4
38,Blink,3,,Transmutation,1 action,Self,"V, S",,1 minute,,,,,,Sorcerer,,Wizard,,2
39,Blur,2,,Illusion,1 action,Self,V,,"Concentration, up to 1 minute",,,,,,Sorcerer,,Wizard,,2
40,Branding Smite,2,,Evocation,1 bonus action,Self,V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1
41,Burning Hands,1,,Evocation,1 action,Self (15ft cone),"V, S",,Instantaneous,,,,,,Sorcerer,,Wizard,,2
42,Call Lightning,3,,Conjuration,1 action,120 ft,"V, S",,"Concentration, up to 10 minutes",,,Druid,,,,,,,1
43,Calm Emotions,2,,Enchantment,1 action,60 ft,"V, S",,"Concentration, up to 1 minute",Bard,Cleric,,,,,,,,2
44,Chain Lightning,6,,Evocation,1 action,150 ft,"V, S, M","a bit of fur; a piece of amber, glass, or a crystal rod; and three silver pins",Instantaneous,,,,,,Sorcerer,,Wizard,,2
45,Charm Person,1,,Enchantment,1 action,30 ft,"V, S",,1 hour,Bard,,Druid,,,Sorcerer,Warlock,Wizard,,5
46,Chill Touch,Cantrip,,Necromancy,1 action,120 ft,"V, S",,1 round,,,,,,Sorcerer,Warlock,Wizard,,3
47,Chromatic Orb,1,,Evocation,1 action,90 ft,"V, S, M",a diamond worth at least 50 gp,Instantaneous,,,,,,Sorcerer,,Wizard,,2
48,Circle of Death,6,,Necromancy,1 action,150 ft,"V, S, M",the powder of a crushed black pearl worth at least 500 gp,Instantaneous,,,,,,Sorcerer,Warlock,Wizard,,3
49,Circle of Power,5,,Abjuration,1 action,Self (30ft radius),V,,"Concentration, up to 10 minutes",,,,Paladin,,,,,,1
50,Clairvoyance,3,,Divination,10 minutes,1 mile,"V, S, M","(a focus worth at least 100
gp, either a jeweled horn for hearing or a glass eye for seeing","Concentration, up to 10 minutes",Bard,Cleric,,,,Sorcerer,,Wizard,,4
51,Clone,8,,Necromancy,1 hour,Touch,"V, S, M","a diamond worth at least 1,000 gp and at least 1 cubic inch of flesh of the creature that is to be cloned, which the spell consumes, and a vessel worth at least 2,000 gp that has a sealable lid and is large enough to hold a Medium creature, such as a huge urn, coffin, mud-filled cyst in the ground, or crystal container filled with salt water",Instantaneous,,,,,,,,Wizard,,1
52,Cloud of Daggers,2,,Conjuration,1 action,60 ft,"V, S, M",a sliver o f glass,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,Warlock,Wizard,,4
53,Cloudkill,5,,Conjuration,1 action,120 ft,"V, S",,"Concentration, up to 10 minutes",,,,,,Sorcerer,,Wizard,,2
54,Color Spray,1,,Illusion,1 action,Self (15ft cone),"V, S, M","a pinch of powder or sand that is colored red, yellow, and blue",1 round,,,,,,Sorcerer,,Wizard,,2
55,Command,1,,Enchantment,1 action,60 ft,V,,1 round,,Cleric,,Paladin,,,,,,2
56,Commune,5,Ritual,Divination,1 minute,Self,"V, S, M",incense and a vial of holy or unholy water,1 minute,,Cleric,,,,,,,,1
57,Commune with Nature,5,Ritual,Divination,1 minute,Self,"V, S",,Instantaneous,,,Druid,,Ranger,,,,,2
58,Compeled Duel,1,,Enchantment,1 bonus action,30 ft,V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1
59,Comprehend Languages,1,Ritual,Divination,1 action,Self,"V, S, M",a pinch of soot and salt,1 hour,Bard,,,,,Sorcerer,Warlock,Wizard,,4
60,Compulsion,4,,Enchantment,1 action,30 ft,"V, S",,"Concentration, up to 1 minute",Bard,,,,,,,,,1
61,Cone of Cold,5,,Evocation,1 action,Self (60ft cone),"V, S, M",a small crystal or glass cone,Instantaneous,,,,,,Sorcerer,,Wizard,,2
62,Confusion,4,,Enchantment,1 action,90 ft,"V, S, M",three nut shells,"Concentration, up to 1 minute",Bard,,Druid,,,Sorcerer,,Wizard,,4
63,Conjure Animals,3,,Conjuration,1 action,60 ft,"V, S",,"Concentration, up to 1 hour",,,Druid,,Ranger,,,,,2
64,Conjure Barrage,3,,Conjuration,1 action,Self (60ft cone),"V, S, M",one piece of ammunition or a thrown weapon,Instantaneous,,,,,Ranger,,,,,1
65,Conjure Celestial,7,,Conjuration,1 minute,90 ft,"V, S",,"Concentration, up to 1 hour",,Cleric,,,,,,,,1
66,Conjure Elemental,5,,Conjuration,1 minute,90 ft,"V, S, M","burning incense for air, soft clay for earth, sulfur and phosphorus for fire, or water and sand for water","Concentration, up to 1 hour",,,,,,,,Wizard,,1
67,Conjure Fey,6,,Conjuration,1 minute,90 ft,"V, S",,"Concentration, up to 1 hour",,,Druid,,,,Warlock,,,2
68,Conjure Minor Elementals,4,,Conjuration,1 minute,90 ft,"V, S",,"Concentration, up to 1 hour",,,Druid,,,,,Wizard,,2
69,Conjure Volley,5,,Conjuration,1 action,150 ft,"V, S, M",one piece of ammunition or a thrown weapon,Instantaneous,,,,,Ranger,,,,,1
70,Conjure Woodland Beings,4,,Conjuration,1 action,60 ft,"V, S, M","one holly berry per
creature summoned","Concentration, up to 1 hour",,,Druid,,Ranger,,,,,2
71,Contact Other Plane,5,Ritual,Divination,1 minute,Self,V,,1 minute,,,,,,,Warlock,Wizard,,2
72,Contagion,5,,Necromancy,1 action,Touch,"V, S",,7 days,,Cleric,,,,,,,,1
73,Contingency,6,,Evocation,10 minutes,Self,"V, S, M","a statuette of yourself carved from ivory and decorated with gems worth at least 1,500 gp",10 days,,,,,,,,Wizard,,1
74,Continual Flame,2,,Evocation,1 action,Touch,"V, S, M","ruby dust worth 50 gp, which the spell consumes",Until dispelled,,Cleric,,,,,,Wizard,,2
75,Control Water,4,,Transmutation,1 action,300 ft,"V, S, M",a drop of water and a pinch of dust,"Concentration, up to 10 minutes",,Cleric,Druid,,,,,Wizard,,3
76,Control Weather,8,,Transmutation,10 minutes,Self (5miles radius),"V, S, M",burning incense and bits of earth and wood mixed in water,"Concentration, up to 8 hours",,Cleric,Druid,,,,,Wizard,,3
77,Cordon of Arrows,2,,Transmutation,1 action,5 ft,"V, S, M",four or more arrows or bolts,8 hours,,,,,Ranger,,,,,1
78,Counterspell,3,,Abjuration,"1 reaction, which you take when you see a creature within 60 feet of you casting a spell",60 ft,S,,Instantaneous,,,,,,Sorcerer,Warlock,Wizard,,3
79,Create Food and Water,3,,Conjuration,1 action,30 ft,"V, S",,Instantaneous,,Cleric,,Paladin,,,,,,2
80,Create or Destroy Water,1,,Transmutation,1 action,30 ft,"V, S, M",a drop of water if creating water or a few grains of sand if destroying it,Instantaneous,,Cleric,Druid,,,,,,,2
81,Create Undead,6,,Necromancy,1 minute,10 ft,"V, S, M","one clay pot filled with grave dirt, one clay pot filled with brackish water, and one 150 gp black onyx stone for each corpse",Instantaneous,,Cleric,,,,,Warlock,Wizard,,3
82,Creation,5,,Illusion,1 minute,30 ft,"V, S, M",a tiny piece of matter of the same type of the item you plan to create,Special,,,,,,Sorcerer,,Wizard,,2
83,Crown of Madness,2,,Enchantment,1 action,120 ft,"V, S",,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,Warlock,Wizard,,4
84,Crusader's Mantle,3,,Evocation,1 action,Self,V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1
85,Cure Wounds,1,,Evocation,1 action,Touch,"V, S",,Instantaneous,Bard,Cleric,Druid,Paladin,Ranger,,,,,5
86,Dancing Lights,Cantrip,,Evocation,1 action,120 ft,"V, S, M","a bit of phosphorus or wychwood, or a  glowworm","Concentration, up to 1 minute",Bard,,,,,Sorcerer,,Wizard,,3
87,Darkness,2,,Evocation,1 action,60 ft,"V, M",,"Concentration, up to 10 minutes",,,,,,Sorcerer,Warlock,Wizard,,3
88,Darkvision,2,,Transmutation,1 action,Touch,"V, S, M","either a pinch of dried
carrot or an agate",8 hours,,,Druid,,Ranger,Sorcerer,,Wizard,,4
89,Daylight,3,,Evocation,1 action,60 ft,"V, S",,1 hour,,Cleric,Druid,Paladin,Ranger,Sorcerer,,,,5
90,Death Ward,4,,Abjuration,1 action,Touch,"V, S",,8 hours,,Cleric,,Paladin,,,,,,2
91,Delayed Blast Fireball,7,,Evocation,1 action,150 ft,"V, S, M","a tiny ball of bat
guano and sulfur","Concentration, up to 1 minute",,,,,,Sorcerer,,Wizard,,2
92,Demiplane,8,,Conjuration,1 action,60 ft,V,,1 hour,,,,,,,Warlock,Wizard,,2
93,Destructive Wave (Smite?),5,,Evocation,1 action,Self (30ft radius),V,,Instantaneous,,,,Paladin,,,,,,1
94,Detect Evil and Good,1,,Divination,1 action,Self,"V, S",,"Concentration, up to 10 minutes",,Cleric,,Paladin,,,,,,2
95,Detect Magic,1,Ritual,Divination,1 action,Self,"V, S",,"Concentration, up to 10 minutes",Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,,Wizard,,7
96,Detect Poison and Disease,1,Ritual,Divination,1 action,Self,"V, S, M",a yew leaf,"Concentration, up to 10 minutes",,Cleric,Druid,Paladin,Ranger,,,,,4
97,Detect Thoughts,2,,Divination,1 action,Self,"V, S, M",a copper piece,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,,Wizard,,3
98,Dimension Door,4,,Conjuration,1 action,500 ft,V,,Instantaneous,Bard,,,,,Sorcerer,Warlock,Wizard,,4
99,Disguise Self,1,,Illusion,1 action,Self,"V, S",,1 hour,Bard,,,,,Sorcerer,,Wizard,,3
100,Disintegrate,6,,Transmutation,1 action,60 ft,"V, S, M",a lodestone and a pinch of dust,Instantaneous,,,,,,Sorcerer,,Wizard,,2
101,Dispel Evil and Good,5,,Abjuration,1 action,Self,"V, S, M","holy water or powdered
silver and iron","Concentration, up to 1 minute",,Cleric,,,,,,,,1
102,Dispel Magic,3,,Abjuration,1 action,120 ft,"V, S",,Instantaneous,Bard,Cleric,Druid,Paladin,,Sorcerer,Warlock,Wizard,,7
103,Dissonant Whispers,1,,Enchantment,1 action,60 ft,V,,Instantaneous,Bard,,,,,,,,,1
104,Divination,4,Ritual,Divination,1 action,Self,"V, S, M","incense and a sacrificial offering appropriate to your religion, together worth at least 25 gp, which the spell consumes",Instantaneous,,Cleric,,,,,,,,1
105,Divine Favor,1,,Evocation,1 bonus action,Self,"V, S",,"Concentration, up to 1 minute",,,,Paladin,,,,,,1
106,Divine Word,7,,Evocation,1 bonus action,Self,V,,Instantaneous,,Cleric,,,,,,,,1
107,Dominate Beast,4,,Enchantment,1 action,30 ft,"V, S",,"Concentration, up to 1 minute",,,Druid,,,Sorcerer,,,,2
108,Dominate Monster,8,,Enchantment,1 action,60 ft,"V, S",,"Concentration, up to 1 hour",Bard,,,,,Sorcerer,Warlock,Wizard,,4
109,Dominate Person,5,,Enchantment,1 action,60 ft,"V, S",,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,,Wizard,,3
110,Drawmij's Instant Summon,6,Ritual,Conjuration,1 minute,Touch,"V, S, M","a sapphire worth 1,000 gp",Until Dispelled,,,,,,,,Wizard,,1
111,Dream,5,,Illusion,1 minute,Special,"V, S, M","a handful of sand, a dab of ink, and a writing quill plucked from a sleeping bird",8 hours,Bard,,,,,,Warlock,Wizard,,3
112,Druidcraft,Cantrip,,Transmutation,1 action,30 ft,"V, S",,Instantaneous,,,Druid,,,,,,,1
113,Earthquake,8,,Evocation,1 action,500 ft,"V, S, M","a pinch of dirt, a piece of rock, and a lump of clay","Concentration, up to 1 minute",,Cleric,Druid,,,Sorcerer,,,,3
114,Eldritch Blast,Cantrip,,Evocation,1 action,120 ft,"V, S",,Instantaneous,,,,,,,Warlock,,,1
115,Elemental Weapon,3,,Transmutation,1 action,Touch,"V, S",,"Concentration, up to 1 hour",,,,Paladin,,,,,,1
116,Enhance Ability,2,,Transmutation,1 action,Touch,"V, S, M",fur or a feather from a beast,"Concentration, up to 1 hour",Bard,Cleric,Druid,,,Sorcerer,,,,4
117,Enlarge/Reduce,2,,Transmutation,1 action,30 ft,"V, S, M",a pinch of powdered iron,"Concentration, up to 1 minute",,,,,,Sorcerer,,Wizard,,2
118,Ensnaring Strike,1,,Conjuration,1 bonus action,Self,V,,"Concentration, up to 1 minute",,,,,Ranger,,,,,1
119,Entangle,1,,Conjuration,1 action,90 ft,"V, S",,"Concentration, up to 1 minute",,,Druid,,,,,,,1
120,Enthrall,2,,Enchantment,1 action,60 ft,"V, S",,1 minute,Bard,,,,,,Warlock,,,2
121,Etherealness,7,,Transmutation,1 action,Self,"V, S",,Up to 8 hours,Bard,Cleric,,,,Sorcerer,Warlock,Wizard,,5
122,Evard's Black Tentacles,4,,Conjuration,1 action,90 ft,"V, S, M",a piece o f tentacle from a giant octopus or a giant squid,"Concentration, up to 1 minute",,,,,,,,Wizard,,1
123,Expeditious Retreat,1,,Transmutation,1 bonus action,Self,"V, S",,"Concentration, up to 10 minutes",,,,,,Sorcerer,Warlock,Wizard,,3
