ID,Spell_Name,Spell_level,Ritual,School,Casting_Time,Range,Components,Material_Component,Duration,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard,Description,Number of Classes that know spell
240,Move Earth,6,,Transmutation,1 action,120 ft,"V, S, M","an iron blade and a small bag containing a mixture of  oils?clay, loam, and sand","Concentration, up to 2 hours",,,Druid,,,Sorcerer,,Wizard,,3
241,Nondetection,3,,Abjuration,1 action,Touch,"V, S, M","a pinch of diamond dust
worth 25 gp sprinkled over the target, which the spell consumes",8 hours,Bard,,,,Ranger,,,Wizard,,3
242,Nystul's Magic Aura,2,,Illusion,1 action,Touch,"V, S, M",a small square of silk,24 hours,,,,,,,,Wizard,,1
243,Otiluke Freezing Sphere,6,,Evocation,1 action,300 ft,"V, S, M",a small crystal sphere,Instantaneous,,,,,,,,Wizard,,1
244,Otiluke resilient Sphere,4,,Evocation,1 action,30 ft,"V, S, M","a hemispherical piece of
clear crystal and a matching hemispherical piece of gum arabic","Concentration, up to 1 minute",,,,,,,,Wizard,,1
245,Otto's Irresistible Dance,6,,Enchantment,1 action,30 ft,V,,"Concentration, up to 1 minute",Bard,,,,,,,Wizard,,2
246,Pass Without Trace,2,,Abjuration,1 action,Self,"V, S, M","ashes from a burned leaf of
mistletoe and a sprig of spruce","Concentration, up to 1 hour",,,Druid,,Ranger,,,,,2
247,Passwall,5,,Transmutation,1 action,30 ft,"V, S, M",a pinch of sesame seeds,1 hour,,,,,,,,Wizard,,1
248,Phantasmal Force,2,,Illusion,1 action,60 ft,"V, S, M",a bit of fleece,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,,Wizard,,3
249,Phantasmal Killer,4,,Illusion,1 action,120 ft,"V, S",,"Concentration, up to 1 minute",,,,,,,,Wizard,,1
250,Phantom Seed,3,Ritual,Illusion,1 minute,30 ft,"V, S",,1 hour,,,,,,,,Wizard,,1
251,Planar Ally,6,,Conjuration,10 minutes,60 ft,"V, S",,Instantaneous,,Cleric,,,,,,,,1
252,Planar Binding,5,,Abjuration,1 hour,60 ft,"V, S, M","a jewel worth at least 1,000 gp, which the spell consumes",24 hours,Bard,Cleric,Druid,,,,,Wizard,,4
253,Plane Shift,7,,Conjuration,1 action,Touch,"V, S, M","a forked, metal rod worth at least 250 gp, attuned to a particular plane of existence",Instantaneous,,Cleric,Druid,,,Sorcerer,Warlock,Wizard,,5
254,Plant Growth,3,,Transmutation,1 action or 8 hours,150 ft,"V, S",,Instantaneous,Bard,,Druid,,Ranger,,,,,3
255,Poison Spray,Cantrip,,Conjuration,1 action,10 ft,"V, S",,Instantaneous,,,Druid,,,Sorcerer,Warlock,Wizard,,4
256,Polymorph,4,,Transmutation,1 action,60 ft,"V, S, M",a caterpillar cocoon,"Concentration, up to 1 hour",Bard,,Druid,,,Sorcerer,,Wizard,,4
257,Power Word Heal,9,,Evocation,1 action,Touch,"V, S",,Instantaneous,Bard,,,,,,,,,1
258,Power Word Kill,9,,Enchantment,1 action,60 ft,V,,Instantaneous,Bard,,,,,Sorcerer,Warlock,Wizard,,4
259,Power Word Stun,8,,Enchantment,1 action,60 ft,V,,Instantaneous,Bard,,,,,Sorcerer,Warlock,Wizard,,4
260,Prayer of Healing,2,,Evocation,10 minutes,30 ft,V,,Instantaneous,,Cleric,,,,,,,,1
261,Prestidigitation,Cantrip,,Transmutation,1 action,10 ft,"V, S",,Up to 1 hour,Bard,,,,,Sorcerer,Warlock,Wizard,,4
262,Prismatic Spray,7,,Evocation,1 action,Sel f (60-foot cone),"V, S",,Instantaneous,,,,,,Sorcerer,,Wizard,,2
263,Prismatic Wall,9,,Abjuration,1 action,60 ft,"V, S",,10 minutes,,,,,,,,Wizard,,1
264,Produce Flame,Cantrip,,Conjuration,1 action,Self,"V, S",,10 minutes,,,Druid,,,,,,,1
265,Programmed Illusion,6,,Illusion,1 action,120 ft,"V, S, M",a bit of fleece and jade dust worth at least 25 gp,Until Dispelled,Bard,,,,,,,Wizard,,2
266,Project Image,7,,Illusion,1 action,500 miles,"V, S, M",a small replica of you made from materials worth at least 5 gp,"Concentration, up to 1 day",Bard,,,,,,,Wizard,,2
267,Protection From Energy,3,,Abjuration,1 action,Touch,"V, S",,"Concentration, up to 1 hour",,Cleric,Druid,,Ranger,Sorcerer,,Wizard,,5
268,Protection From Evil and Good,1,,Abjuration,1 action,Touch,"V, S, M","holy water or powdered silver and iron, which the spell consumes","Concentration, up to 10 minutes",,Cleric,,Paladin,,,Warlock,Wizard,,4
269,Protection From Poison,2,,Abjuration,1 action,Touch,"V, S",,1 hour,,Cleric,Druid,Paladin,Ranger,,,,,4
270,Purify Food and Drink,1,Ritual,Transmutation,1 action,10 ft,"V, S",,Instantaneous,,Cleric,Druid,Paladin,,,,,,3
271,Raise Dead,5,,Necromancy,1 hour,Touch,"V, S, M","a diamond worth at least 500 gp, which the spell consumes",Instantaneous,Bard,Cleric,,Paladin,,,,,,3
272,Rary's Telepathic Bond,5,Ritual,Divination,1 action,30 ft,"V, S, M",pieces o f eggshell from two different kinds of creatures,1 hour,,,,,,,,Wizard,,1
273,Ray of Enfeeblement,2,,Necromancy,1 action,60 ft,"V, S",,"Concentration, up to 1 minute",,,,,,,Warlock,Wizard,,2
274,Ray of Frost,Cantrip,,Evocation,1 action,60 ft,"V, S",,Instantaneous,,,,,,Sorcerer,,Wizard,,2
275,Ray of Sickness,1,,Necromancy,1 action,60 ft,"V, S",,Instantaneous,,,,,,Sorcerer,,Wizard,,2
276,Regenerate,7,,Transmutation,1 minute,Touch,"V, S, M",a prayer wheel and holy water,1 hour,Bard,Cleric,Druid,,,,,,,3
277,Reincarnate,5,,Transmutation,1 hour,Touch,"V, S, M","rare oils and unguents worth at least 1,000 gp, which the spell consumes",Instantaneous,,,Druid,,,,,,,1
278,Remove Curse,3,,Abjuration,1 action,Touch,"V, S",,Instantaneous,,Cleric,,Paladin,,,Warlock,Wizard,,4
279,Resistance,Cantrip,,Abjuration,1 action,Touch,"V, S, M",a miniature cloak,"Concentration, up to 1 minute",,Cleric,Druid,,,,,,,2
280,Resurrection,7,,Necromancy,1 hour,Touch,"V, S, M","a diamond worth at least 1,000 gp, which the spell consumes",Instantaneous,Bard,Cleric,,,,,,,,2
281,Reverse Gravity,7,,Transmutation,1 action,100 ft,"V, S, M",a lodestone and iron filings,"Concentration, up to 1 minute",,,Druid,,,Sorcerer,,Wizard,,3
282,Revivify,3,,Conjuration,1 action,Touch,"V, S, M","diamonds worth 300 gp, which the spell consumes",Instantaneous,,Cleric,,Paladin,,,,,,2
283,Rope Trick,2,,Transmutation,1 action,Touch,"V, S, M",powdered corn extract and a twisted loop of  archment,1 hour,,,,,,,,Wizard,,1
284,Sacred Flame,Cantrip,,Evocation,1 action,60 ft,"V, S",,Instantaneous,,Cleric,,,,,,,,1
285,Sanctuary,1,,Abjuration,1 bonus action,30 ft,"V, S, M",a small silver mirror,1 minute,,Cleric,,,,,,,,1
286,Scorching Ray,2,,Evocation,1 action,120 ft,"V, S",,Instantaneous,,,,,,Sorcerer,,Wizard,,2
287,Scrying,5,,Divination,10 minutes,Self,"V, S, M","a focus worth at least 1,000 gp, such as a crystal ball, a silver mirror, or a font filled with holy water","Concentration, up to 10 minutes",Bard,Cleric,Druid,,,,Warlock,Wizard,,5
288,Searing Smite,1,,Evocation,1 bonus action,Self,V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1
289,See Invisibility,2,,Divination,1 action,Self,"V, S, M",a pinch o f talc and a small sprinkling of powdered silver,1 hour,Bard,,,,,Sorcerer,,Wizard,,3
290,Seeming,5,,Illusion,1 action,30 ft,"V, S",,8 hours,Bard,,,,,Sorcerer,,Wizard,,3
291,Sending,3,,Evocation,1 action,Unlimited,"V, S, M",a short piece of fine copper wire,1 round,Bard,Cleric,,,,,,Wizard,,3
292,Sequester,7,,Transmutation,1 action,Touch,"V, S, M","a powder composed of diamond, emerald, ruby, and sapphire dust worth at least 5,000 gp, which the spell consumes",Until Dispelled,,,,,,,,Wizard,,1
293,Shapechange,9,,Transmutation,1 action,Self,"V, S, M","a jade circlet worth at least 1,500 gp, which you must place on your head before you cast the spell","Concentration, up to 1 hour",,,Druid,,,,,Wizard,,2
294,Shatter,2,,Evocation,1 action,60 ft,"V, S, M",a chip of mica,Instantaneous,Bard,,,,,Sorcerer,Warlock,Wizard,,4
295,Shield,1,,Abjuration,"1 reaction, which you take when you are hit by an attack or targeted by the magic missile spel",Self,"V, S",,1 round,,,,,,Sorcerer,,Wizard,,2
296,Shield of Faith,1,,Abjuration,1 bonus action,60 ft,"V, S",,"Concentration, up to 10 minutes",,Cleric,,Paladin,,,,,,2
297,Shillelagh,Cantrip,,Transmutation,1 bonus action,Touch,"V, S, M","mistletoe, a shamrock leaf, and a club or quarterstaff",1 minute,,,Druid,,,,,,,1
298,Shocking Grasp,Cantrip,,Evocation,1 action,Touch,"V, S",,Instantaneous,,,,,,Sorcerer,,Wizard,,2
299,Silence,2,Ritual,Illusion,1 action,120 ft,"V, S",,"Concentration, up to 10 minutes",Bard,Cleric,,,Ranger,,,,,3
300,Silent Image,1,,Illusion,1 action,60 ft,"V, S, M",a bit of fleece,"Concentration, up to 10 minutes",Bard,,,,,Sorcerer,,Wizard,,3
301,Simulacrum,7,,Illusion,12 hours,Touch,"V, S, M","snow or ice in quantities sufficient to made a life-size  opy of the duplicated creature; some hair, fingernail clippings, or other piece o f that creature?s body placed inside the snow or ice; and powdered ruby worth 1,500 gp, sprinkled over the duplicate and consumed by the spell",Until Dispelled,,,,,,,,Wizard,,1
302,Sleep,1,,Enchantment,1 action,90 ft,"V, S, M","a pinch of fine sand, rose petals, or a cricket",1 minute,Bard,,,,,Sorcerer,,Wizard,,3
303,Sleet Storm,3,,Conjuration,1 action,150 ft,"V, S, M","a pinch of dust and a few
drops o f water","Concentration, up to 1 minute",,,Druid,,,Sorcerer,,Wizard,,3
304,Slow,3,,Transmutation,1 action,120 ft,"V, S, M",a drop of molasses,"Concentration, up to 1 minute",,,,,,Sorcerer,,Wizard,,2
305,Spare the Dying,Cantrip,,Necromancy,1 action,Touch,"V, S",,Instantaneous,,Cleric,,,,,,,,1
306,Speak with Animals,1,Ritual,Divination,1 action,Self,"V, S",,10 minutes,Bard,,Druid,,Ranger,,,,,3
307,Speak with Dead,3,,Necromancy,1 action,10 ft,"V, S, M",burning incense,10 minutes,Bard,Cleric,,,,,,,,2
308,Speak with Plants,3,,Transmutation,1 action,Self (30-foot radius),"V, S",,10 minutes,Bard,,Druid,,Ranger,,,,,3
309,Spider Climb,2,,Transmutation,1 action,Touch,"V, S, M",a drop of bitumen and a spider,"Concentration, up to 1 hour",,,,,,Sorcerer,Warlock,Wizard,,3
310,Spike Growth,2,,Transmutation,1 action,150 ft,"V, S, M","seven sharp thorns or seven small twigs, each sharpened to a point","Concentration, up to 10 minutes",,,Druid,,Ranger,,,,,2
311,Spirit Guardians,3,,Conjuration,1 action,Self (15-foot radius),"V, S, M",a holy symbol,"Concentration, up to 10 minutes",,Cleric,,,,,,,,1
312,Spiritual Weapon,2,,Evocation,1 bonus action,60 ft,"V, S",,1 minute,,Cleric,,,,,,,,1
313,Staggering Smite,4,,Evocation,1 bonus action,Self,V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1
314,Stinking Cloud,3,,Conjuration,1 action,90 ft,"V, S, M","a rotten egg or several skunk
cabbage leaves","Concentration, up to 1 minute",Bard,,,,,Sorcerer,,Wizard,,3
315,Stone Shape,4,,Transmutation,1 action,Touch,"V, S, M","soft clay, which must be worked
into roughly the desired shape o f the stone object",Instantaneous,,Cleric,Druid,,,,,Wizard,,3
316,Stoneskin,4,,Abjuration,1 action,Touch,"V, S, M","diamond dust worth 100 gp, which the spell consumes","Concentration, up to 1 hour",,,Druid,,Ranger,Sorcerer,,Wizard,,4
317,Storm of Vengeance,9,,Conjuration,1 action,Sight,"V, S",,"Concentration, up to 1 minute",,,Druid,,,,,,,1
318,Suggestion,2,,Enchantment,1 action,30 ft,"V, M",a snake?s tongue and either a bit of honeycomb or a drop of  sweet oil,"Concentration, up to 8 hours",Bard,,,,,Sorcerer,Warlock,Wizard,,4
319,Sunbeam,6,,Evocation,1 action,Self (60-foot line),"V, S, M",a magnifying glass,"Concentration, up to 1 minute",,,Druid,,,Sorcerer,,Wizard,,3
320,Sunburst,8,,Evocation,1 action,150 ft,"V, S, M",fire and a piece of sunstone,Instantaneous,,,Druid,,,Sorcerer,,Wizard,,3
321,Swift Quiver,5,,Transmutation,1 bonus action,Touch,"V, S, M","a quiver containing at least one
piece of ammunition","Concentration, up to 1 minute",,,,,Ranger,,,,,1
322,Symbol,7,,Abjuration,1 minute,Touch,"V, S, M","mercury, phosphorus, and powdered diamond and opal with a total value of at least 1,000 gp, which the spell consumes",Until dispelled or triggered,Bard,Cleric,,,,,,Wizard,,3
323,Tasha's Hideous Laughter,1,,Enchantment,1 action,30 ft,"V, S, M","tiny tarts and a feather that is
waved in the air","Concentration, up to 1 minute",,,,,,,,Wizard,,1
324,Telekinesis,5,,Transmutation,1 action,60 ft,"V, S",,"Concentration, up to 10 minutes",,,,,,Sorcerer,,Wizard,,2
325,Telepathy,8,,Evocation,1 action,Unlimited,"V, S, M",a pair of linked silver rings,24 hours,,,,,,,,Wizard,,1
326,Teleport,7,,Conjuration,1 action,10 ft,V,,Instantaneous,Bard,,,,,Sorcerer,,Wizard,,3
327,Teleportation Circle,5,,Conjuration,1 minute,10 ft,"V, M","rare chalks and inks infused with precious gems with 50 gp, which the spell consumes",1 round,Bard,,,,,Sorcerer,,Wizard,,3
328,Tenser's Floating Disk,1,Ritual,Conjuration,1 action,30 ft,"V, S, M",a drop of mercury,1 hour,,,,,,,,Wizard,,1
329,Thaumaturgy,Cantrip,,Transmutation,1 action,30 ft,V,,Up to 1 minute,,Cleric,,,,,,,,1
330,Thorn Whip,Cantrip,,Transmutation,1 action,30 ft,"V, S, M",the stem of a plant with thorns,Instantaneous,,,Druid,,,,,,,1
331,Thunderous Smite,1,,Evocation,1 bonus action,Self,V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1
332,Thunderwave,1,,Evocation,1 action,Self (15-foot cube),"V, S",,Instantaneous,Bard,,Druid,,,Sorcerer,,Wizard,,4
333,Time Stop,9,,Transmutation,1 action,Self,V,,Instantaneous,,,,,,Sorcerer,,Wizard,,2
334,Tongues,3,,Divination,1 action,Touch,"V, M",a small clay model of a ziggurat,1 hour,Bard,Cleric,,,,Sorcerer,Warlock,Wizard,,5
335,Transport Via Plants,6,,Conjuration,1 action,10 ft,"V, S",,1 round,,,Druid,,,,,,,1
337,Tree Stride,5,,Conjuration,1 action,Self,"V, S",,"Concentration, up to 1 minute",,,Druid,,Ranger,,,,,2
338,True Polymorph,9,,Transmutation,1 action,30 ft,"V, S, M","a drop of mercury, a dollop of
gum arabic, and a wisp of smoke","Concentration, up to 1 hour",Bard,,,,,,Warlock,Wizard,,3
339,True Resurrection,9,,Necromancy,1 hour,Touch,"V, S, M","a sprinkle o f holy water and diamonds worth at least 25,000 gp, which the spell consumes",Instantaneous,,Cleric,Druid,,,,,,,2
340,True Seeing,6,,Divination,1 action,Touch,"V, S, M","an ointment for the eyes that costs 25 gp; is made from mushroom powder, saffron, and fat; and is consumed by the spell",1 hour,Bard,Cleric,,,,Sorcerer,Warlock,Wizard,,5
341,True Strike,Cantrip,,Divination,1 action,30 ft,S,,"Concentration, up to 1 round",Bard,,,,,Sorcerer,Warlock,Wizard,,4
342,Tsunami,8,,Conjuration,1 minute,Sight,"V, S",,"Concentration, up to 6 rounds",,,Druid,,,,,,,1
343,Unseen Servant,1,Ritual,Conjuration,1 action,60 ft,"V, S, M","a piece of string and
a bit of wood",1 hour,Bard,,,,,,Warlock,Wizard,,3
344,Vampiric Touch,3,,Necromancy,1 action,Self,"V, S",,"Concentration, up to 1 minute",,,,,,,Warlock,Wizard,,2
345,Vicious Mockery,Cantrip,,Enchantment,1 action,60 ft,V,,Instantaneous,Bard,,,,,,,,,1
346,Wall of Fire,4,,Evocation,1 action,120 ft,"V, S, M",a small piece of phosphorus,"Concentration, up to 1 minute",,,Druid,,,Sorcerer,,Wizard,,3
347,Wall of Force,5,,Evocation,1 action,120 ft,"V, S, M","a pinch of powder made by
crushing a clear gemstone","Concentration, up to 10 minutes",,,,,,,,Wizard,,1
348,Wall of Ice,6,,Evocation,1 action,120 ft,"V, S, M",a small piece of quartz,"Concentration, up to 10 minutes",,,,,,,,Wizard,,1
349,Wall of Stone,5,,Evocation,1 action,120 ft,"V, S, M",a small block of granite,"Concentration, up to 10 minutes",,,Druid,,,Sorcerer,,Wizard,,3
350,Wall of Thorns,6,,Conjuration,1 action,120 ft,"V, S, M",a handful of thorns,"Concentration, up to 10 minutes",,,Druid,,,,,,,1
351,Warding Bond,2,,Abjuration,1 action,Touch,"V, S, M","a pair of platinum rings worth at least 50 gp each, which you and the target  must wear for the duration",1 hour,,Cleric,,,,,,,,1
352,Water Breathing,3,Ritual,Transmutation,1 action,30 ft,"V, S, M",a short reed or piece of straw,24 hours,,,Druid,,Ranger,Sorcerer,,Wizard,,4
353,Water Walk,3,Ritual,Transmutation,1 action,30 ft,"V, S, M",a piece of cork,1 hour,,,Druid,,Ranger,Sorcerer,,,,3
354,Web,2,,Conjuration,1 action,60 ft,"V, S, M",a bit of spiderweb,"Concentration, up to 1 hour",,,,,,Sorcerer,,Wizard,,2
355,Weird,9,,Illusion,1 action,120 ft,"V, S",,"Concentration, up to 1 minute",,,,,,,,Wizard,,1
356,Wind Walk,6,,Transmutation,1 minute,30 ft,"V, S, M",fire and holy water,8 hours,,,Druid,,,,,,,1
357,Wind Wall,3,,Evocation,1 action,120 ft,"V, S, M",a tiny fan and a feather of exotic origin,"Concentration, up to 1 minute",,,Druid,,Ranger,,,,,2
358,Wish,9,,Conjuration,1 action,Self,V,,Instantaneous,,,,,,Sorcerer,,Wizard,,2
359,Witch Bolt,1,,Evocation,1 action,30 ft,"V, S, M",a twig from a tree that has been struck by lightning,"Concentration, up to 1 minute",,,,,,Sorcerer,Warlock,Wizard,,3
360,Word of Recall,6,,Conjuration,1 action,5 ft,V,,Instantaneous,,Cleric,,,,,,,,1
